platform,category,bucket_month,window_days,n_reviews,n_urls,reliability_flag,V,R,M,Diversity,Q,NS,dNS,CT_shift,rz_V,rz_R,rz_M,rz_Diversity,rz_Q,rz_NS,rz_dNS,rz_CT,rem_score_raw,rem_score
coupang,Appliances,2023-01-01,30,21,15,low_conf,3.091042453358316,0.7166160616624276,0.6286086594223743,0.9206349206349208,4.38739024390244,0.1739130434782608,-0.2083333333333333,0.4285714285714285,0.901638505586618,-2.0090605667526136,-1.5691156083853477,0.023312056355672,0.4514967436674122,0.8559190153664316,-1.8105883046274336,1.059109603808214,-0.4203672929469078,42.99
coupang,Appliances,2023-02-01,30,28,15,low_conf,3.367295829986474,0.6982892683937374,0.4054651081081641,0.9107142857142856,4.205895833333334,0.2,-0.2793522267206478,0.3155080213903743,0.7255867598772116,-1.497360724736299,-1.0007638445724485,0.159327082469288,1.9826521004383335,1.319793363418385,-2.416984611809931,0.2494699417339855,-0.3060351159633094,44.9
coupang,Appliances,2023-03-01,30,44,17,low_conf,3.80666248977032,0.6156242278392229,-0.4418327522790393,0.8481404958677686,4.451296875000001,0.108695652173913,0.1415607985480943,0.3594771241830065,0.4455855942604269,0.8107183577228612,1.1573233176591415,1.0172334289974765,-0.0876437192889178,-0.3037668547634513,1.1769900616052127,0.6198960161358684,0.6628800593561226,61.05
coupang,Appliances,2023-04-01,30,38,17,low_conf,3.6635616461296463,0.6044991713376805,-0.5108256237659905,0.8781163434903048,4.256603448275862,0.175,0.2980769230769231,0.2797619047619047,0.5367814147167314,1.121339510632753,1.3330497501246283,0.6062551267240516,1.5548635200359282,0.8752471132019295,2.5134062658282814,-0.0242466170468885,1.204566776201701,70.08
coupang,Appliances,2023-05-01,30,40,18,low_conf,3.713572066704308,0.6389704086535575,-0.1910552367627094,0.91375,4.281383333333334,0.1666666666666666,0.125,0.3484848484848484,0.5049105939749393,0.1588728952224223,0.5185872106603536,0.1177064844785223,1.3458110559575938,0.7270650297964445,1.035585336685189,-0.1401064621309181,0.5897929101191117,59.83
coupang,Appliances,2023-06-01,30,38,21,low_conf,3.6635616461296463,0.6264209067662436,-0.2006706954621515,0.9265927977839336,4.429017241379311,0.125,-0.068649885583524,0.2296918767507002,0.5367814147167314,0.5092657893296884,0.5430780053954557,-0.058372313897601,0.1003156798917145,-0.0138453872309805,-0.617898263287905,-0.8086920441263499,-0.0542364367727467,49.1
coupang,Appliances,2023-07-01,30,42,22,low_conf,3.7612001156935615,0.6344558658436087,0.0,0.8832199546485261,4.643274193548388,0.0681818181818181,0.0,0.5238095238095238,0.4745580195679385,0.284922816163762,0.0319651229493115,0.5362830119841632,-1.707236844786068,-1.0241777740865603,-0.0317297788070444,1.0186652857641123,-0.0739244248264003,48.77
coupang,Appliances,2023-08-01,30,54,25,low_conf,4.007333185232471,0.6087624552625975,-0.2876820724517808,0.934156378600823,4.363283783783785,0.1071428571428571,0.069090909090909,0.2089761570827489,0.3177014515214763,1.002304954021167,0.7646979863117299,-0.1620713866436239,0.6548679407622614,-0.3313784230998771,0.5582043941195718,0.4307964167224349,0.4469672352275711,57.45
coupang,Appliances,2023-09-01,30,47,28,low_conf,3.871201010907891,0.6724277915378297,0.204794412646013,0.9506564056133996,4.371388059701493,0.1020408163265306,-0.0232919254658385,0.3003663003663004,0.4044562533254688,-0.7752860318283746,-0.4896509621263051,-0.3882919484267137,0.5864972099764544,-0.4221021476338474,-0.2306083717559079,0.390036256818996,-0.121576004179756,47.97
coupang,Appliances,2023-10-01,30,60,25,low_conf,4.110873864173311,0.6686236202263609,0.2595111954850844,0.9183333333333332,4.6860375,0.0483870967741935,-0.0158730158730158,0.1877828054298642,0.2517166751471118,-0.6690702945445816,-0.629015868051656,0.0548675424140315,-2.0680042399984497,-1.376164541120117,-0.1672618569647884,0.1876388127988206,-0.5590892940375167,40.68
